date,wl_anomaly,lake
2015-07-01,0.6562272089762473,Rukwa
2015-08-01,0.49463043478260715,Rukwa
2015-09-01,0.3487971014493496,Rukwa
2015-10-01,0.09429172510522221,Rukwa
2015-11-01,0.07363043478267173,Rukwa
2015-12-01,0.09235624123425623,Rukwa
2016-01-01,0.41396914446011124,Rukwa
2016-02-01,0.8605097451275014,Rukwa
2016-03-01,1.1383239831696983,Rukwa
2016-04-01,1.3039637681159775,Rukwa
2016-05-01,1.2999368863955851,Rukwa
2016-06-01,1.1712971014493405,Rukwa
2016-07-01,1.0391143057503314,Rukwa
2016-08-01,0.8494082125604336,Rukwa
2016-09-01,0.7229304347825973,Rukwa
2016-10-01,0.6434767984966356,Rukwa
2016-11-01,0.4591304347826508,Rukwa
2016-12-01,0.4409046283310545,Rukwa
2017-01-01,0.4399368863955715,Rukwa
2017-02-01,0.5571661490683937,Rukwa
2017-03-01,0.7423562412342335,Rukwa
2017-04-01,0.8487971014493496,Rukwa
2017-05-01,0.7921949509116075,Rukwa
2017-06-01,0.5191304347825962,Rukwa
2017-07-01,0.4300981767181611,Rukwa
2017-08-01,0.2681304347826199,Rukwa
2017-09-01,0.19079710144933415,Rukwa
2017-10-01,0,Rukwa
2017-11-01,0.2063673352126898,Rukwa
2017-12-01,0.3356101326211274,Rukwa
2018-01-01,0.32605351170570884,Rukwa
2018-02-01,0.43359472049701253,Rukwa
2018-03-01,0.6391304347826008,Rukwa
2018-04-01,1.112630434782659,Rukwa
2018-05-01,1.3402971014493232,Rukwa
2018-06-01,1.2148804347826854,Rukwa
2018-07-01,1.066711079943957,Rukwa
2018-08-01,0.9551304347826317,Rukwa
2018-09-01,0.7806304347826654,Rukwa
2018-10-01,0.6447755960729182,Rukwa
2018-11-01,0.5006304347826926,Rukwa
2018-12-01,0.540930434782581,Rukwa
2019-01-01,0.8149637681159447,Rukwa
2019-02-01,0.9364518633540229,Rukwa
2019-03-01,1.055420757363322,Rukwa
2019-04-01,1.1507971014492568,Rukwa
2019-05-01,1.060582047685898,Rukwa
2019-06-01,0.8859637681159711,Rukwa
2019-07-01,0.739936886395526,Rukwa
2019-08-01,0.6496304347826936,Rukwa
2019-09-01,0.4352971014493505,Rukwa
2019-10-01,0.3473562412342517,Rukwa
2019-11-01,0.13629710144925866,Rukwa
2019-12-01,0.4102594670407598,Rukwa
2020-01-01,0.935259467040737,Rukwa
2020-02-01,1.7439580209895666,Rukwa
2020-03-01,2.604936886395535,Rukwa
2020-04-01,3.477297101449267,Rukwa
2020-05-01,3.7668723702664693,Rukwa
2020-06-01,3.732797101449364,Rukwa
2020-07-01,3.637598176718143,Rukwa
2020-08-01,3.506017531556836,Rukwa
2020-09-01,3.3692971014493196,Rukwa
2020-10-01,3.228646563814891,Rukwa
2020-11-01,3.131963768115952,Rukwa
2020-12-01,3.2160659186536122,Rukwa
2021-01-01,3.8191304347826645,Rukwa
2021-02-01,4.267701863354091,Rukwa
2021-03-01,4.926065918653649,Rukwa
2021-04-01,5.137647101449261,Rukwa
2021-05-01,5.290582047685916,Rukwa
2021-06-01,5.205297101449332,Rukwa
2021-07-01,5.088323983169744,Rukwa
2021-08-01,4.976227208976184,Rukwa
2021-09-01,4.805463768115942,Rukwa
2021-10-01,4.6731626928472,Rukwa
2021-11-01,4.501130434782681,Rukwa
2021-12-01,4.352194950911667,Rukwa
2022-01-01,4.416388499298819,Rukwa
2022-02-01,4.590559006211265,Rukwa
2022-03-01,4.980509745127506,Rukwa
